Sample,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC_1,QC_2,QC_3,QC_11,QC_18,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
Lable,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC,QC,QC,QC,QC,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
neg-M110T204,485260.1884,321152.7404,523784.0818,783906.893,547230.193,857998.0469,296350.6118,280782.3537,275589.9659,356664.4692,314779.5401,1964364.992,2257970.136,2343390.915,2227700.315,2463978.937,2417197.926
neg-M110T500,723152.0012,854912.0786,766183.1339,899484.0562,490356.1187,713603.3033,812451.5002,879415.3063,781861.8722,1123027.524,748108.0846,936249.5941,280951.3829,742233.9348,979676.136,694035.8458,591956.7779
neg-M110T538,174640.7347,292033.8377,274444.6067,208354.8593,257549.9326,611866.7595,2343465.821,2336372.366,2283156.096,268301.9942,1920825.126,94031.64325,2065013.108,2083181.75,2653069.324,501815.9299,391230.0589
neg-M111T202,2745.244688,135824.7284,164287.1275,146095.9353,4952.443269,2479.876376,515452.3845,604000.1538,646362.6189,659344.1076,492224.2447,1147046.645,1088200.242,1015793.833,1080688.227,752736.8049,751402.7205
neg-M111T219,6530515.141,6092669.881,6117575.739,6566909.607,6682159.827,8857160.725,6026386.829,5849980.901,6020442.168,5469552.157,5870023.392,5375033.794,7409512.594,8577127.093,8091998.901,9906170.097,10496381.04
neg-M111T220,243158.8496,213650.2768,231967.1515,399998.1506,218202.7068,266925.6298,432609.2559,275544.6238,254576.779,334997.8799,626007.2087,243721.3469,206994.253,316517.3766,424973.4278,272723.2611,315074.1578
neg-M111T226,172073.872,2977.901002,207902.7144,2103.16125,161649.4598,178409.4009,451066.2554,418100.4896,456653.5618,525631.6146,542972.1704,893271.9875,1970728.462,1109064.903,1119216.901,966128.7205,725455.082
neg-M111T247,459483.3157,415228.5752,447711.3437,396029.1091,435700.5436,437326.7189,423255.7236,328512.3876,362028.7083,420300.0004,436366.5072,401395.1848,356062.6937,410270.8914,456348.5433,407542.1306,615008.0543
neg-M111T248,24778320.81,33720732.29,41664930.1,37051331.36,34218756.29,40622860.28,8927358.415,8308874.601,16617759.82,22950197.68,12089796.72,30778927.35,20011514.93,39807394.55,16383742.74,12100666.79,38234463.82
neg-M111T258,43263.55645,7458.175049,10529.6191,3293.285771,7221.048901,106872.8417,787984.1162,828071.0205,785621.1358,804598.8426,773044.1468,1850287.924,1454708.471,1547172.669,1809920.528,1571910.776,1563017.662
neg-M111T41,5439869.208,9085691.734,5240774.129,10898803.19,6152124.29,6468401.85,6488857.173,9833774.255,5911807.855,5680122.492,9820231.174,10234209.73,7145482.776,8211488.023,7061291.016,7765428.159,6249229.296
neg-M111T445,4727767.499,2673778.603,4096460.834,5079464.67,3442239.19,1554849.499,3259377.562,4582968.545,3737181.398,1918287.213,3035929.359,5190798.612,5054611.867,5262970.796,2473310.906,3500933.294,4832724.593
neg-M111T48,18671540.89,9202757.84,9733260.266,9955654.661,9707330.93,7712177.796,11347789.48,10827548.75,10598359.19,10741054.74,11527096.22,4672511.101,10697257.04,15149971.34,5983635.538,14944431.38,7841999.577
neg-M111T501,4314107.59,8394930.171,8498532.628,7772095.591,4769875.302,11520076.58,8261526.864,11598415.36,8481965.903,7793216.916,4914209.424,5081970.749,7939597.63,8478016.386,4627013.277,19009645.11,14293444.52
neg-M111T53,259752.0952,186484.1847,376589.9073,214406.5264,1933960.416,1783832.053,212546.9582,246917.2058,234315.8264,209676.7788,238701.5027,29715.81553,1873731.471,117199.2982,1997187.729,2059495.096,236654.8148
neg-M111T563,14277850.76,14976553.11,15178103.77,16032297.31,15452452.57,17367677.18,15815771.33,15795097.74,16330466.78,15200817.29,17184740.26,15810755.04,16416526.69,16469892.63,16299467.11,17481028.46,19318299.24
neg-M111T590,1010339.107,1129546.372,747283.9607,1410573.66,1117876.185,671288.7314,777572.2601,1090323.905,1029302.301,659385.791,576906.9189,1004354.654,632574.8301,1120945.358,1246402.196,616162.6178,655001.3218
neg-M111T592,6817725.627,5553207.391,5189421.553,5172411.898,4105612.584,4840549.653,8239371.282,9732000.519,10788452.44,6665455.007,5233552.137,6304434.342,6386921.036,7048154.127,10692172.41,6042520.94,5512183.743
